Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
ocbBlockWoodBarsVariantHelper,blocks,Block,,,Wood Bars,,"Holzstäbe",Barras de madera,Barres en bois,Barre di legno,"ウッド・バー",,"Pręty drewniane",Barras de madeira,"Деревянные брусья","Ahşap Çubuklar","木条","木條",Barras de madera,"Дървени пръти","Dřevěné tyče","Træstænger","Ξύλινες μπάρες",Puidust baarid,Puupalkit,Fa rudak,Batang Kayu,Mediniai strypai,"Koka stieņi",Houten balken,Bare din lemn,"Drevené tyče",Lesene palice,"Trästänger"
ocbBlockIronBarsVariantHelper,blocks,Block,,,Iron Bars,,Eisenstangen,Barras de hierro,Barres de fer,Barre di ferro,"鉄の棒",,"Żelazne pręty",Barras de ferro,"Железные прутья","Demir Çubuklar","铁棒","鐵棒",Barras de hierro,"Железни пръти","Železné tyče","Jernstænger","Μπάρες σιδήρου",Raudvarraste,Rautatangot,Vasrudak,Batang Besi,"Geležiniai strypai","Dzelzs stieņi",IJzeren staven,Bare de fier,"Železné tyče","Železne palice","Järnstänger"
ocbBlockSteelBarsVariantHelper,blocks,Block,,,Steel Bars,,Stabstahl,Barras de acero,"Barres d'acier","Barre d'acciaio","棒鋼",,"Pręty stalowe","Barras de aço","Стальные прутки","Çelik Çubuklar","钢条","鋼條",Barras de acero,"Стоманени пръти","Ocelové tyče","Stålstænger","Χαλύβδινες ράβδοι",Terasvardad,"Terästangot","Acélrudak",Batang Baja,Plieno strypai,"Tērauda stieņi",Stalen staven,"Bare de oțel","Oceľové tyče",Jeklene palice,"Stångstål"
ocbBlockWoodBarsEdge,blocks,Block,,,Wood Bars Outer Edge,,"Holzstäbe Außenkante",Barras de madera Borde exterior,"Barres en bois Bord extérieur",Barre di legno Bordo esterno,"ウッドバー・アウターエッジ",,"Zewnętrzna krawędź prętów drewnianych",Borda externa das barras de madeira,"Внешняя кромка деревянных брусьев","Ahşap Çubuklar Dış Kenar","木条外缘","木條外緣",Barras de madera Borde exterior,"Външен ръб на дървените пръти","Vnější hrana dřevěných tyčí","Træbjælker Ydre kant","Ξύλινες ράβδοι Εξωτερική άκρη","Puidust latid Välisääred",Puupalkit ulkoreuna,"Fa rudak külső széle",Batang Kayu Tepi Luar,"Medienos strypai Išorinis kraštas","Koka stieņi Ārējā mala",Houtstaven Buitenrand,"Bare de lemn Marginea exterioară","Drevené tyče Vonkajší okraj",Lesene palice Zunanji rob,"Trästänger Yttre kant"
ocbBlockWoodBarsCorner,blocks,Block,,,Wood Bars Outer Corner,,"Holzstäbe Äußere Ecke",Barras de madera Esquina exterior,"Barres en bois Coin extérieur",Barre di legno Angolo esterno,"ウッドバー・アウターコーナー",,"Pręty drewniane Narożnik zewnętrzny",Canto externo das barras de madeira,"Деревянные брусья Внешний угол","Ahşap Çubuklar Dış Köşe","木条外角","木條外角",Barras de madera Esquina exterior,"Външен ъгъл на дървени пръти","Dřevěné tyče Vnější roh","Træstænger Yderste hjørne","Ξύλινες μπάρες Εξωτερική γωνία","Puidust latid Välisnurk",Puupalkit Ulkokulma,"Fa rudak Külső sarok",Batang Kayu Sudut Luar,"Mediniai strypai Išorinis kampas","Koka stieņi Ārējais stūris",Houten balken Buitenhoek,"Bare din lemn Colț exterior","Drevené tyče Vonkajší roh",Lesene palice Zunanji vogal,"Wood Bars Yttre hörnet"
ocbBlockWoodBarsCenterEdge,blocks,Block,,,Wood Bars Center Edge,,"Holzstäbe Mittlere Kante",Barras de madera Borde central,Barres en bois Bord central,Barre di legno Bordo centrale,"ウッドバー・センターエッジ",,"Krawędź środkowa słupków drewnianych",Borda central das barras de madeira,"Деревянные бруски центральная кромка","Ahşap Çubuklar Orta Kenar","木条中心边缘","木條中心邊緣",Barras de madera Borde central,"Дървени пръти Централен ръб","Dřevěné tyče Středová hrana","Træstænger Midterkant","Μπάρες ξύλου Κεντρική άκρη",Puitvardad Keskmine serv,Puupalkit Keskireuna,"Fa rudak középső széle",Tepi Tengah Batang Kayu,"Medienos strypai Centro kraštas","Koka stieņi Centra mala",Houten balken Middenrand,Bare de lemn Center Edge,"Drevené tyče Stredový okraj",Sredinski rob lesenih palic,"Trästänger Mittkant"
ocbBlockWoodBarsCenterCorner,blocks,Block,,,Wood Bars Center Corner,,Holzstangen Mitte Ecke,Barras de madera Esquina central,Barres en bois Coin central,Barre in legno Angolo centrale,"ウッドバー・センターコーナー",,"Drążki drewniane Narożnik środkowy",Barras de madeira no canto central,"Деревянные брусья Центральный угол","Ahşap Çubuklar Orta Köşe","木条中心角","木條中心角",Barras de madera Esquina central,"Дървени пръти Център ъгъл","Dřevěné tyče Středový roh","Træstænger Midterhjørne","Ξύλινες μπάρες κέντρο γωνία",Puitvardad Keskmine nurk,Puutangot Keskikulma,"Fa rudak Középső sarok",Sudut Tengah Batang Kayu,Mediniai strypai Centro kampas,"Koka stieņi Centra stūris",Houten balken Middenhoek,"Baruri din lemn Colț central","Drevené tyče Stredový roh",Lesene palice Center Corner,"Trästänger Centrum Hörn"
ocbBlockIronBarsEdge,blocks,Block,,,Iron Bars Outer Edge,,"Eisenstangen Äußere Kante",Barras de hierro Borde exterior,"Barres de fer Bord extérieur",Barre di ferro Bordo esterno,"鉄棒アウターエッジ",,"Zewnętrzna krawędź żelaznych prętów",Borda externa das barras de ferro,"Внешняя кромка железных прутьев","Demir Çubuklar Dış Kenar","铁条外缘","鐵條外緣",Barras de hierro Borde exterior,"Железни пръти Външен ръб","Vnější hrana železných tyčí","Jernstænger Ydre kant","Εξωτερική άκρη ράβδων σιδήρου","Raudvarraste väliskülg",Rautatangot ulkoreuna,"Vasrudak külső széle",Batang Besi Tepi Luar,"Geležies strypai Išorinis kraštas","Dzelzs stieņi Ārējā mala",Buitenrand ijzeren staven,"Bare de fier Marginea exterioară","Železné tyče Vonkajší okraj","Železne palice Zunanji rob","Järnstänger Yttre kant"
ocbBlockIronBarsCorner,blocks,Block,,,Iron Bars Outer Corner,,"Eisenstangen Äußere Ecke",Barras de hierro Esquina exterior,"Barres de fer Coin extérieur",Barre di ferro Angolo esterno,"鉄棒アウターコーナー",,"Żelazne pręty Narożnik zewnętrzny",Canto externo das barras de ferro,"Железные прутья Внешний угол","Demir Çubuklar Dış Köşe","铁棒外角","鐵棒外角",Barras de hierro Esquina exterior,"Железни пръти Външен ъгъл","Vnější roh železných tyčí","Jernstænger Yderste hjørne","Εξωτερική γωνία σιδερένιων ράβδων","Raudvarraste välimine nurk",Rautatangot Ulkokulma,"Vasrudak Külső sarok",Batang Besi Sudut Luar,"Geležiniai strypai Išorinis kampas","Dzelzs stieņi Ārējais stūris",IJzeren staven Buitenhoek,"Bare de fier Colț exterior","Železné tyče Vonkajší roh","Železne palice Zunanji vogal","Järnstänger Yttre hörnet"
ocbBlockIronBarsCenterEdge,blocks,Block,,,Iron Bars Center Edge,,Eisenstangen Mittlere Kante,Barras de hierro Borde central,Barres de fer Bord central,Barre di ferro Bordo centrale,"鉄棒センターエッジ",,"Krawędź środkowa żelaznych prętów",Borda central das barras de ferro,"Железные прутья по центральной кромке","Demir Çubuklar Orta Kenar","铁棒中心边缘","鐵棒中心邊緣",Barras de hierro Borde central,"Железни пръти Централен ръб","Železné tyče Středová hrana","Jernstænger Midterkant","Σιδερένιες ράβδοι Κεντρική άκρη",Raudvarraste keskne serv,Rautatankojen keskireuna,"Vasrudak középső széle",Tepi Tengah Batang Besi,"Geležiniai strypai Centro kraštas","Dzelzs stieņi Centra mala",Middenrand ijzeren staven,bare de fier Center Edge,"Železné tyče stredový okraj","Železne palice Center Edge","Järnstänger Mittkant"
ocbBlockIronBarsCenterCorner,blocks,Block,,,Iron Bars Center Corner,,Eisenstangen Mitte Ecke,Barras de hierro Esquina central,Barres de fer Coin central,Barre di ferro Angolo centrale,"鉄棒センターコーナー",,"Żelazne pręty Narożnik środkowy",Canto central das barras de ferro,"Железные прутья Центральный угол","Demir Çubuklar Orta Köşe","铁栏杆中心角","鐵[欗欄]杆中心角",Barras de hierro Esquina central,"Железни пръти Централен ъгъл","Železné tyče Středový roh","Jernstænger Midterste hjørne","Σιδερένιες ράβδοι κέντρο γωνία",Raudvarraste keskne nurk,Rautatangot Keskikulma,"Vasrudak Középső sarok",Sudut Tengah Batang Besi,"Geležiniai strypai Centro kampas","Dzelzs stieņi Centra stūris",IJzeren staven Middenhoek,"Bare de fier Colț central","Železné tyče stredový roh","Železne palice Center Corner","Järnstänger Centrum Hörn"
ocbBlockSteelBarsEdge,blocks,Block,,,Steel Bars Outer Edge,,"Stahlstäbe Außenkante",Barras de acero Borde exterior,"Barres d'acier Bord extérieur",Barre in acciaio Bordo esterno,"スチールバー・アウターエッジ",,"Zewnętrzna krawędź prętów stalowych","Borda externa das barras de aço","Внешняя кромка стальных прутьев","Çelik Çubuklar Dış Kenar","钢条外缘","鋼條外緣",Barras de acero Borde exterior,"Стоманени пръти Външен ръб","Ocelové tyče Vnější hrana","Stålstænger Ydre kant","Εξωτερική άκρη χαλύβδινων ράβδων","Terasvardad Väliskülg","Terästangot ulkoreuna","Acélrudak külső széle",Batang Baja Tepi Luar,"Plieno strypai Išorinis kraštas","Tērauda stieņi Ārējā mala",Stalen staven Buitenrand,"Bare de oțel Marginea exterioară","Oceľové tyče Vonkajší okraj",Jeklene palice Zunanji rob,"Stålstänger Yttre kant"
ocbBlockSteelBarsCorner,blocks,Block,,,Steel Bars Outer Corner,,"Stahlstäbe Äußere Ecke",Barras de acero Esquina exterior,"Barres d'acier Coin extérieur",Barre in acciaio Angolo esterno,"スチールバー・アウターコーナー",,"Pręty stalowe Narożnik zewnętrzny","Canto externo das barras de aço","Внешний угол стальных прутьев","Çelik Çubuklar Dış Köşe","钢条外角","鋼條外角",Barras de acero Esquina exterior,"Стоманени пръти Външен ъгъл","Ocelové tyče Vnější roh","Stålstænger Yderste hjørne","Χαλύβδινες ράβδοι Εξωτερική γωνία","Terasvardad Välisnurk","Terästangot Ulkokulma","Acélrudak külső sarok",Batang Baja Sudut Luar,"Plieno strypai Išorinis kampas","Tērauda stieņi Ārējais stūris",Stalen staven Buitenhoek,"Bare de oțel Corner exterior","Oceľové tyče Vonkajší roh",Jeklene palice Zunanji vogal,"Stålstänger Yttre hörn"
ocbBlockSteelBarsCenterEdge,blocks,Block,,,Steel Bars Center Edge,,"Stahlstäbe Mittlere Kante",Barras de acero Borde central,"Barres d'acier Bord central",Barre in acciaio Bordo centrale,"スチールバー・センターエッジ",,"Pręty stalowe Krawędź środkowa","Barras de aço Borda central","Центральная кромка стальных прутков","Çelik Çubuklar Orta Kenar","钢条中心边缘","鋼條中心邊緣",Barras de acero Borde central,"Стоманени пръти Center Edge","Ocelové tyče Středová hrana","Stålstænger Centerkant","Μπάρες χάλυβα Κεντρική άκρη",Terasvardad Keskmine serv,"Terästangot Keskireuna","Acélrudak középső széle",Tepi Tengah Batang Baja,"Plieno strypai Centro kraštas","Tērauda stieņi Centra mala",Stalen staven Middenrand,"Bare de oțel Center Edge","Oceľové tyče stredový okraj",Jeklene palice Center Edge,"Stålstänger Centerkant"
ocbBlockSteelBarsCenterCorner,blocks,Block,,,Steel Bars Center Corner,,"Stahlstäbe Mitte Ecke",Barras de acero Esquina central,"Barres d'acier Coin central",Barre in acciaio Angolo centrale,"スチールバー・センターコーナー",,"Stalowe pręty Narożnik środkowy","Barras de aço Center Corner","Стальные прутки Центральный уголок","Çelik Çubuklar Orta Köşe","钢筋中心角","鋼筋中心角",Barras de acero Esquina central,"Стоманени пръти Center Corner","Ocelové tyče Center Corner","Stålstænger Midterste hjørne","Γωνία κέντρου χαλύβδινων ράβδων",Terasvarraste keskne nurk,"Terästangot Center Corner","Acélrudak Center Corner sarok",Sudut Tengah Batang Baja,Plieno strypai Centro kampas,"Tērauda stieņi Centra stūris",Stalen staven Middenhoek,"Bare de oțel Corner Center Corner","Oceľové tyče stredový roh",Jeklene palice Center Corner,"Stålstänger Centrum Hörn"
ocbBlockWoodBarsDesc,blocks,Block,,,"You can see, shoot and loot through [decea3]Wood Bars[-] and they offer some protection.",,"Du kannst durch [decea3]Holzbalken[-] sehen, schießen und plündern und sie bieten einen gewissen Schutz.","Puedes ver, disparar y saquear a través de [decea3]Barras de Madera[-] y ofrecen cierta protección.","Vous pouvez voir, tirer et piller à travers les [decea3]barres de bois[-] et elles offrent une certaine protection.","È possibile vedere, sparare e saccheggiare attraverso le [decea3]Barre di legno[-] e queste offrono una certa protezione.","Decea3]ウッド・バー[-]を通して、見たり、撃ったり、略奪したりすることができ、ある程度の保護にもなる。",,"Możesz widzieć, strzelać i plądrować przez [decea3]Wood Bars[-] i zapewniają one pewną ochronę.","Você pode ver, atirar e saquear através das [decea3]Wood Bars[-] e elas oferecem alguma proteção.","Вы можете видеть, стрелять и грабить через [decea3]Wood Bars[-], и они обеспечивают некоторую защиту.","decea3]Ahşap Çubuklar[-] aracılığıyla görebilir, ateş edebilir ve yağmalayabilirsiniz ve bir miktar koruma sağlarlar.","你可以通过[decea3]木条[-]看到、射击和掠夺，它们提供了一些保护。","你可以通過[decea3]木條[-]看到、射擊和掠奪，它們提供[了瞭]一些保護。","Puedes ver, disparar y saquear a través de [decea3]Barras de Madera[-] y ofrecen cierta protección.","Можете да виждате, да стреляте и да плячкосвате през [decea3]Дървени греди[-] и те предлагат известна защита.","Přes [decea3]Dřevěné tyče[-] můžete vidět, střílet a kořistit a poskytují určitou ochranu.","Du kan se, skyde og plyndre gennem [decea3]Wood Bars[-], og de giver en vis beskyttelse.","Μπορείτε να βλέπετε, να πυροβολείτε και να κάνετε πλιάτσικο μέσω των [decea3]Wood Bars[-] και προσφέρουν κάποια προστασία.","Saate näha, tulistada ja rüüstata läbi [decea3]Wood Bars[-] ja need pakuvad mõningast kaitset.","Voit nähdä, ampua ja ryöstää [decea3]puupalkkien[-] läpi, ja ne tarjoavat jonkin verran suojaa.","A [decea3]Wood Bars[-]-on keresztül láthatsz, lőhetsz és zsákmányolhatsz, és némi védelmet is nyújtanak.","Anda dapat melihat, menembak, dan menjarah melalui [decea3] Wood Bars [-] dan mereka menawarkan perlindungan.","Pro [decea3]Medines grotas[-] galite matyti, šaudyti ir grobti, be to, jos suteikia tam tikrą apsaugą.","Caur [decea3]Koka stieņiem[-] var redzēt, šaut un laupīt, un tie nodrošina zināmu aizsardzību.","Je kunt zien, schieten en plunderen door [decea3]Wood Bars[-] en ze bieden enige bescherming.","Poți vedea, trage și jefui prin [decea3]Barele de lemn[-] și îți oferă o anumită protecție.","Cez [decea3]Drevené tyče[-] môžete vidieť, strieľať a plieniť a poskytujú určitú ochranu.","Skozi [decea3]Lesene palice[-] lahko vidite, streljate in plenite ter nudijo nekaj zaščite.","Du kan se, skjuta och plundra genom [decea3]Wood Bars[-] och de erbjuder ett visst skydd."
ocbBlockIronBarsDesc,blocks,Block,,,"You can see, shoot and loot through [decea3]Iron Bars[-] and they offer decent protection.",,"Du kannst durch [decea3]Eisenstangen[-] sehen, schießen und plündern und sie bieten einen guten Schutz.","Puedes ver, disparar y saquear a través de [decea3]Barras de Hierro[-] y ofrecen una protección decente.","Vous pouvez voir, tirer et piller à travers les [decea3]barres de fer[-] et elles offrent une protection décente.","È possibile vedere, sparare e saccheggiare attraverso le [decea3]Barre di ferro[-] e offrono una discreta protezione.","decea3]鉄の棒[-]を通して見ることも、撃つことも、略奪することもできるし、ちゃんと守ってくれる。",,"Możesz widzieć, strzelać i plądrować przez [decea3]Żelazne sztaby[-] i zapewniają one przyzwoitą ochronę.","Você pode ver, atirar e saquear através das [decea3]Iron Bars[-] e elas oferecem uma proteção decente.","Вы можете видеть, стрелять и грабить через [decea3]Железные прутья[-], и они обеспечивают достойную защиту.","decea3]Demir Çubuklar[-] aracılığıyla görebilir, ateş edebilir ve yağmalayabilirsiniz ve iyi bir koruma sağlarlar.","你可以通过[decea3]铁栅栏[-]看到、射击和掠夺，它们提供了适当的保护。","你可以通過[decea3]鐵栅[欗欄][-]看到、射擊和掠奪，它們提供[了瞭][适適]當的保護。","Puedes ver, disparar y saquear a través de [decea3]Barras de Hierro[-] y ofrecen una protección decente.","Можете да виждате, да стреляте и да плячкосвате през [decea3]Железните решетки[-] и те осигуряват прилична защита.","Přes [decea3]železné tyče[-] můžete vidět, střílet a rabovat a poskytují slušnou ochranu.","Du kan se, skyde og plyndre gennem [decea3]Iron Bars[-], og de giver god beskyttelse.","Μπορείτε να βλέπετε, να πυροβολείτε και να κάνετε πλιάτσικο μέσω των [decea3]Iron Bars[-] και προσφέρουν αξιοπρεπή προστασία.","Saate läbi [decea3]raudkangide[-] näha, tulistada ja rüüstata ning need pakuvad korralikku kaitset.","Voit nähdä, ampua ja ryöstää [decea3]Rautatankojen[-] läpi, ja ne tarjoavat kunnon suojaa.","A [decea3]Vasrudakon[-] keresztül láthatsz, lőhetsz és zsákmányolhatsz, és megfelelő védelmet nyújtanak.","Anda dapat melihat, menembak, dan menjarah melalui [decea3] Iron Bars [-] dan mereka menawarkan perlindungan yang layak.","Pro [decea3]Geležines grotas[-] galite matyti, šaudyti ir grobti ir jos suteikia gerą apsaugą.","Caur [decea3]Dzelzs stieņiem[-] var redzēt, šaut un laupīt, un tie nodrošina pienācīgu aizsardzību.","Je kunt zien, schieten en plunderen door [decea3]Iron Bars[-] en ze bieden een goede bescherming.","Poți vedea, trage și jefui prin [decea3]Barele de fier[-], iar acestea oferă o protecție decentă.","Cez [decea3]železné tyče[-] môžete vidieť, strieľať a plieniť a poskytujú slušnú ochranu.","Skozi [decea3]železne palice[-] lahko vidite, streljate in plenite, poleg tega pa nudijo dobro zaščito.","Du kan se, skjuta och plundra genom [decea3]Järnstänger[-] och de ger ett hyfsat skydd."
